Student ID,Name,Class,Marks,Family Background,Family Educational Background,Attendance (%),Behavior,Viva Performance,Submission,Certification,Achievements,Hobby,Academic Attributes,Behavioral Attributes,Socioeconomic Attributes,Psychological and Emotional,Technology Usage,Peer Interactions,Cognitive Attributes,Communication Skills,Learning Progression
1,Rahul More,9,,,Father high school graduate,90.0,Poor,Good,Late,Yes,Science Fair Winner,Reading,Marks: 60,Time Management: Good,Socioeconomic: Middle class,"Stress: Low, Confidence: High",,Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
2,Aarav Deshmukh,10,62.0,Upper class,Mother high school graduate,,Excellent,Excellent,Late,Yes,Best Art Project,Reading,Marks: 62,Time Management: Good,Socioeconomic: Upper class,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
3,Rahul More,11,90.0,,Father high school graduate,85.0,Good,Average,Late,Yes,Science Fair Winner,Playing Tennis,Marks: 90,Time Management: Good,Socioeconomic: Middle class,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
4,Ananya Kulkarni,9,,Upper-middle class,Father high school graduate,97.0,Average,Good,On time,,Sports Captain,,Marks: 65,Time Management: Good,Socioeconomic: Upper-middle class,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
5,Vishal Chavan,10,60.0,Lower class,Both parents college graduates,87.0,Excellent,,On time,Yes,Top in Math Contest,Playing Tennis,Marks: 60,Time Management: Good,Socioeconomic: Lower class,,"EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
6,Neha Deshmukh,9,99.0,Lower class,Mother high school graduate,75.0,Good,Excellent,On time,No,,Playing Tennis,,Time Management: Good,Socioeconomic: Lower class,,"EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
7,Neha Deshmukh,12,64.0,Upper-middle class,Both parents college graduates,,,Good,,Yes,Best Art Project,,Marks: 64,,Socioeconomic: Upper-middle class,,"EdTech: High, Internet: Yes",,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
8,Priya Patil,12,71.0,Lower class,Both parents college graduates,92.0,Good,Poor,On time,No,Best Art Project,Dancing,Marks: 71,Time Management: Good,Socioeconomic: Lower class,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
9,Meera Bhosale,11,88.0,,Both parents college graduates,88.0,,Poor,Late,Yes,Science Fair Winner,Playing Tennis,Marks: 88,Time Management: Good,Socioeconomic: Lower-middle class,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
10,Aarav Deshmukh,12,82.0,Lower class,Both parents college graduates,97.0,,Poor,Late,,Science Fair Winner,Painting,Marks: 82,,Socioeconomic: Lower class,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
